__time,/cosine,/dict/a,/dict/b,/float,/int,/list[0],/list[1],/list[2],/mug/attitude/pitch,/mug/attitude/roll,/mug/attitude/yaw,/mug/position/x,/mug/position/y,/mug/position/z,/mug/setpoint/clamped pitch,/mug/setpoint/clamped roll,/mug/setpoint/yaw,/sine,/ts
1733870883.994227,,,,,,,,,-0.127387805,-0.014328082,0.048831321,-0.024315502,0.001333830,-0.013601085,-0.164187729,-1.459756715,2.797828630,,8.467000000
1733870883.995557,,,,,,,,,-0.129767471,-0.020423635,0.052134923,-0.024815665,0.000516523,-0.011277031,-0.234037617,-1.487025686,2.987111071,,8.468000000
1733870883.996919,,,,,,,,,-0.129767471,-0.020423635,0.052134923,-0.024815665,0.000516523,-0.011277031,-0.234037617,-1.487025686,2.987111071,,8.470000000
1733870883.998281,,,,,,,,,-0.129767471,-0.020423635,0.052134923,-0.024815665,0.000516523,-0.011277031,-0.234037617,-1.487025686,2.987111071,,8.471000000
1733870883.999622,,,,,,,,,-0.129767471,-0.020423635,0.052134923,-0.024815665,0.000516523,-0.011277031,-0.234037617,-1.487025686,2.987111071,,8.473000000
1733870884.000935,,,,,,,,,-0.129767471,-0.020423635,0.052134923,-0.024815665,0.000516523,-0.011277031,-0.234037617,-1.487025686,2.987111071,,8.474000000
1733870884.002280,,,,,,,,,-0.142680507,0.029195067,0.048540282,-0.024982114,0.000229664,-0.009609714,0.334550827,-1.634998179,2.781153319,,8.475000000
1733870884.003599,,,,,,,,,-0.142680507,0.029195067,0.048540282,-0.024982114,0.000229664,-0.009609714,0.334550827,-1.634998179,2.781153319,,8.477000000
1733870884.005108,,,,,,,,,-0.142680507,0.029195067,0.048540282,-0.024982114,0.000229664,-0.009609714,0.334550827,-1.634998179,2.781153319,,8.478000000
1733870884.006486,,,,,,,,,-0.139921073,0.047443590,0.056638610,-0.025480071,-0.000532831,-0.007434082,0.543663493,-1.603377391,3.245153320,,8.479000000
1733870884.007797,,,,,,,,,-0.139921073,0.047443590,0.056638610,-0.025480071,-0.000532831,-0.007434082,0.543663493,-1.603377391,3.245153320,,8.481000000
1733870884.009133,,,,,,,,,-0.139921073,0.047443590,0.056638610,-0.025480071,-0.000532831,-0.007434082,0.543663493,-1.603377391,3.245153320,,8.482000000
1733870884.010447,,,,,,,,,-0.139921073,0.047443590,0.056638610,-0.025480071,-0.000532831,-0.007434082,0.543663493,-1.603377391,3.245153320,,8.483000000
1733870884.011773,,,,,,,,,-0.139177410,0.055008498,0.071121884,-0.025265953,-0.001138311,-0.005276721,0.630350951,-1.594855644,4.074983770,,8.485000000
1733870884.013239,,,,,,,,,-0.139177410,0.055008498,0.071121884,-0.025265953,-0.001138311,-0.005276721,0.630350951,-1.594855644,4.074983770,,8.486000000
1733870884.018901,,,,,,,,,-0.139177410,0.055008498,0.071121884,-0.025265953,-0.001138311,-0.005276721,0.630350951,-1.594855644,4.074983770,,8.487000000
1733870884.018963,,,,,,,,,-0.139177410,0.055008498,0.071121884,-0.025265953,-0.001138311,-0.005276721,0.630350951,-1.594855644,4.074983770,,8.489000000
1733870884.018998,,,,,,,,,-0.142620829,0.082656314,0.055104382,-0.025795026,-0.001873994,-0.003178387,0.947171586,-1.634314316,3.157248519,,8.490000000
